description,description_link,country,project_title,notice_type,language,publish_date,project_link,project_id,status,team_leader,borrower,implementing_agency,total_project_cost,commitment_amount,closing_date
Procurement for fabrication of Interceptor vehicles to Support Enforcement Operations of HP Police.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354437,India,Himachal Pradesh State Roads Transformation Project - P163328,Invitation for Bids,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P163328,P163328,Active,"N. Srinivas , Vijetha Bezzam",India,Himachal Pradesh Road & Other Infrastructure Development Corporation,US$ 112.00 million,US$ 82.00 million,"June 30, 2026"
Procurement of Accessories and Fabrication of Patrol Vehicle 4WD to Support Annual Enforcement Program of HP Police,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354438,India,Himachal Pradesh State Roads Transformation Project - P163328,Invitation for Bids,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P163328,P163328,Active,"N. Srinivas , Vijetha Bezzam",India,Himachal Pradesh Road & Other Infrastructure Development Corporation,US$ 112.00 million,US$ 82.00 million,"June 30, 2026"
"Supply, Delivery, Installation and Configuration of ICT Infrastructure for National e-Payment Gateway Project",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354439,Malawi,Digital Malawi Acceleration Project (DMAP) - P505095,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P505095,P505095,Active,"Luda Bujoreanu , Timothy Kelly",Republic of Malawi,Public Private Partnership Commission,US$ 0.00 million,US$ 70.00 million,"October 31, 2030"
Interim Project Management Specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354440,Indonesia,ID for Inclusive Service Delivery and Digital Transformation in Indonesia - P175218,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P175218,P175218,Active,"Asha Williams , Jonathan Marskell",Republic of Indonesia,"General Directorate for Population and Civil Registration, Ministry of Home Affairs",US$ 250.00 million,US$ 250.00 million,"December 31, 2027"
"Supply, Delivery, Installation and Configuration of ICT Infrastructure for National e-Payment Gateway Project",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354441,Malawi,Digital Malawi Acceleration Project (DMAP) - P505095,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P505095,P505095,Active,"Luda Bujoreanu , Timothy Kelly",Republic of Malawi,Public Private Partnership Commission,US$ 0.00 million,US$ 70.00 million,"October 31, 2030"
"Supply, Delivery, Installation and Configuration of ICT Infrastructure for National e-Payment Gateway Project",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354442,Malawi,Digital Malawi Acceleration Project (DMAP) - P505095,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P505095,P505095,Active,"Luda Bujoreanu , Timothy Kelly",Republic of Malawi,Public Private Partnership Commission,US$ 0.00 million,US$ 70.00 million,"October 31, 2030"
"Supply, Delivery, Installation and Configuration of ICT Infrastructure for National e-Payment Gateway Project",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354443,Malawi,Digital Malawi Acceleration Project (DMAP) - P505095,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P505095,P505095,Active,"Luda Bujoreanu , Timothy Kelly",Republic of Malawi,Public Private Partnership Commission,US$ 0.00 million,US$ 70.00 million,"October 31, 2030"
Procurement of Laptops and IT equipment,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354444,Lebanon,Support for Social Recovery Needs of Vulnerable Groups Phase II - P506127,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P506127,P506127,Active,"Marcelo Fabre , Jeremy Tomlinson",International Rescue Committee Inc,International Rescue Committee Lebanon,US$ 0.00 million,US$ 0.00 million,"June 30, 2026"
Anesthesiologist - Adado general hospital,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354445,Somalia,Somalia Crisis Recovery Project - P173315,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P173315,P173315,Active,"Haris Khan , John Kinuthia",Federal Republic of Somalia,"Ministry of Finance, Federal Government of Somalia,Ministry of Planning, Investment and Economic Development, Federal Government of Somalia",US$ 187.50 million,US$ 187.50 million,"May 31, 2025"
"Purchase of vehicle for Non Bio Degradable Waste transportation to RRF, Placherry,Thamarappally (ward 18), Punalur Municipality, Kollam District, Kerala.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354446,India,Kerala Solid Waste Management Project - P168633,Invitation for Bids,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P168633,P168633,Active,"Zhiyu Chen , Poonam Ahluwalia Khanijo",India,"Local Self Government Department, Government of Kerala",US$ 300.00 million,US$ 210.00 million,"June 30, 2027"
Maintenance and Strengthening of NR4 (PK143+000 to PK186+000),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354447,Cambodia,KH - Road Asset Management Project II - P150572,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P150572,P150572,Active,"Veasna Bun , Sadig Aliyev",The Kingdom of Cambodia,Ministry of Public Works and Transport,US$ 64.80 million,US$ 60.00 million,"December 31, 2026"
"construction of village ponds in Project GP,s of Sirmour Distt.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354448,India,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal - P165129,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P165129,P165129,Active,"Saumya Srivastava , Pyush Dogra",Republic of India,"Department of Forest, Government of Himachal Pradesh",US$ 100.00 million,US$ 80.00 million,"March 31, 2026"
"Android Based Survey for Jhelum, Multan and Rajanpur Districts (Lot wise) - , Package-II",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354449,Pakistan,Punjab Urban Land Systems Enhancement Project - P172945,Invitation for Bids,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P172945,P172945,Active,"Dong Kwak , Davison Muchadenyika",Islamic Republic of Pakistan,"Punjab Land Records Authority,Province of Punjab, Board of Revenue",US$ 150.00 million,US$ 150.00 million,"June 30, 2027"
"Android Based Survey for Narowal, Okara and Sargodha Districts (Lot wise) -, Package-III",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354450,Pakistan,Punjab Urban Land Systems Enhancement Project - P172945,Invitation for Bids,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P172945,P172945,Active,"Dong Kwak , Davison Muchadenyika",Islamic Republic of Pakistan,"Punjab Land Records Authority,Province of Punjab, Board of Revenue",US$ 150.00 million,US$ 150.00 million,"June 30, 2027"
"Establishment of Gloria Abattoir (Gloria, Oriental Mindoro)",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354451,Philippines,Philippine Rural Development Project Scale-up - P180379,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P180379,P180379,Active,"Mio Takada , Maria Quinones",Republic of the Philippines,Department of Agriculture,US$ 550.00 million,US$ 600.00 million,"June 30, 2029"
"Recrutement des entreprises chargées d'exécuter les travaux de réhabilitation de Trois (3) Centres de Formation Technique et Professionnelle (CFTP) : Bol, Ati et Kyabé",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354452,Chad,Chad Skills Development for Youth Employability Project - P164297,Invitation for Bids,French,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P164297,P164297,Active,"Harisoa Rasolonjatovo Andriamihamina , Akiko Sawamoto, Stanislas Honkuy",Republic of Chad,"Ministere de l'Education Nationale et de la Promotion Civique,Ministere de l'Economie et de la Planification du Developpement,Ministere de la Formation Professionnelle et des Petits Metiers",US$ 50.00 million,US$ 50.00 million,"July 31, 2025"
"Supply, Delivery, Installation and Configuration of ICT Infrastructure for National e-Payment Gateway Project",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354453,Malawi,Digital Malawi Acceleration Project (DMAP) - P505095,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P505095,P505095,Active,"Luda Bujoreanu , Timothy Kelly",Republic of Malawi,Public Private Partnership Commission,US$ 0.00 million,US$ 70.00 million,"October 31, 2030"
Population and Civil Registration Senior Consultant,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354454,Indonesia,ID for Inclusive Service Delivery and Digital Transformation in Indonesia - P175218,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P175218,P175218,Active,"Asha Williams , Jonathan Marskell",Republic of Indonesia,"General Directorate for Population and Civil Registration, Ministry of Home Affairs",US$ 250.00 million,US$ 250.00 million,"December 31, 2027"
"Contractualisation avec l'ONG SOCIAL DEVELOPMENT CENTER en appui au renforcement de la résilience economique et accompagnement des 2000 béneficiaires de transfert monetaires en MEDAC , dans le territoire de Mobayi Mbongo, secteur de Mobayi ,",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354455,"Congo, Democratic Republic of",DRC Eastern Recovery Project - P145196,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P145196,P145196,Active,"Jordi Gallego-Ayala , Mba Djekombe Rony, Aissata Coulibaly",Ministry of Finance,Cellule de Suivi des Projets et Programmes,US$ 820.00 million,US$ 700.00 million,"June 30, 2025"
Environment and Social Safeguard Specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354456,Indonesia,ID for Inclusive Service Delivery and Digital Transformation in Indonesia - P175218,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P175218,P175218,Active,"Asha Williams , Jonathan Marskell",Republic of Indonesia,"General Directorate for Population and Civil Registration, Ministry of Home Affairs",US$ 250.00 million,US$ 250.00 million,"December 31, 2027"
Développement et déploiement d’une plateforme de e-learning et d’une bibliothèque numérique en ligne pour les écoles et centres de formation du MINADER et du MINEPIA,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354457,Cameroon,Acceleration of the Digital Transformation of Cameroon Project - P173240,Request for Expression of Interest,French,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P173240,P173240,Active,"Xavier Decoster , Fidele Yobo A Koue Epse Nhiomog",Republic of Cameroon,"Ministry of Posts and Telecommunications (MINPOSTEL),Ministry of Livestock, Fisheries and Animal Industries (MINEPIA),Ministry of Agriculture and Rural Development (MINADER)",US$ 100.00 million,US$ 100.00 million,"March 31, 2027"
"BACKLOG MAINTENANCE OF 23.5KM; FUYAKAKOTA-EDOTSU-YINTI-ZHITU (13.5KM), GUNU-PINA (3KM) AND MINNA-SHAKWATU (7KM) RURAL ROAD IN NIGER STATE",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354458,Nigeria,Nigeria Rural Access and Agricultural Marketing Project - P163353,Invitation for Bids,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P163353,P163353,Active,"Rakesh Tripathi , Samuel Taffesse, Ajara Ceesay",Federal Repulic of Nigeria,Federal Ministry of Agriculture and Rural Development,US$ 575.00 million,US$ 510.00 million,"December 31, 2027"
"Construction of Public Toilets in Sharada Municipality, Salyan",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354459,Nepal,Water Sector Governance and Infrastructure Support Project - P176589,Invitation for Bids,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P176589,P176589,Active,Amelia Midgley,Nepal,"Department of Water Supply and Sewerage Management,Ministry of Water Supply",US$ 100.00 million,US$ 70.06 million,"July 15, 2028"
"10 (IT-C1) Construction de deux (2) centres de santé et de trois (3) écoles primaires subdivisée en 5 lots dans les groupements de Visoma, Oli, Mobiri, Popo et Wala des chefferies de Zaki et Kaliko-Omi. Lot 1 : CS ATSO-ETAT, Lot 2 : CS ALOGA, Lot 3: EP OM",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354460,"Congo, Democratic Republic of",DRC Eastern Recovery Project - P145196,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P145196,P145196,Active,"Jordi Gallego-Ayala , Mba Djekombe Rony, Aissata Coulibaly",Ministry of Finance,Cellule de Suivi des Projets et Programmes,US$ 820.00 million,US$ 700.00 million,"June 30, 2025"
Selection of Monitoring & Evaluation Specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354461,Bangladesh,"BD Rural Water, Sanitation and Hygiene for Human Capital Development Project - P169342",Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P169342,P169342,Active,"Rokeya Ahmed , Aneeka Rahman",People's Republic of Bangladesh,"Palli Karma-Sahayak Foundation (PKSF),Department of Public Health Engineering (DPHE)",US$ 550.50 million,US$ 400.00 million,"October 31, 2025"
"Procurement of Information Systems Design, Supply, Rehabilitation, Implementation and commissioning of the Existing Datacenter of Ministry of Water and Energy (MoWE)",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354462,Ethiopia,"One WASH—Consolidated Water Supply, Sanitation, and Hygiene Account Project (One WASH—CWA) - P167794",Invitation for Bids,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P167794,P167794,Active,"Wendwosen Feleke , Fook Eng, Amanuel Woldetsadik",The Federal Democratic Republic of Ethiopia,"Ministry of Education,Water Development Fund,Ministry of Water and Energy,Ministry of Health",US$ 350.00 million,US$ 300.00 million,"January 7, 2027"
"Fournitures des Equipements pour 3 IDB dans les Groupements BONUDANA, BODUA & BOZAGBA en 3 lots distincts dans le Secteur de Karawa, Territoire de Businga.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354463,"Congo, Democratic Republic of",DRC Eastern Recovery Project - P145196,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P145196,P145196,Active,"Jordi Gallego-Ayala , Mba Djekombe Rony, Aissata Coulibaly",Ministry of Finance,Cellule de Suivi des Projets et Programmes,US$ 820.00 million,US$ 700.00 million,"June 30, 2025"
"Fournitures des Equipements pour 3 IDB dans les Groupements BONUDANA, BODUA & BOZAGBA en 3 lots distincts dans le Secteur de Karawa, Territoire de Businga.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354464,"Congo, Democratic Republic of",DRC Eastern Recovery Project - P145196,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P145196,P145196,Active,"Jordi Gallego-Ayala , Mba Djekombe Rony, Aissata Coulibaly",Ministry of Finance,Cellule de Suivi des Projets et Programmes,US$ 820.00 million,US$ 700.00 million,"June 30, 2025"
Population and Civil Registration Specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354465,Indonesia,ID for Inclusive Service Delivery and Digital Transformation in Indonesia - P175218,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P175218,P175218,Active,"Asha Williams , Jonathan Marskell",Republic of Indonesia,"General Directorate for Population and Civil Registration, Ministry of Home Affairs",US$ 250.00 million,US$ 250.00 million,"December 31, 2027"
Supply and Installation of IT Equipment for an Electronic Government Procurement (e-GP) System in Mozambique,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354466,Mozambique,Managing Public Resources for Service Delivery - P173178,Invitation for Bids,Portuguese,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P173178,P173178,Active,Ana Barros,Republic Of Mozambique,Ministry of Economy and Finance,US$ 96.00 million,US$ 96.00 million,"March 31, 2026"
Procurement of Stationary,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354467,Lebanon,Support for Social Recovery Needs of Vulnerable Groups Phase II - P506127,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P506127,P506127,Active,"Marcelo Fabre , Jeremy Tomlinson",International Rescue Committee Inc,International Rescue Committee Lebanon,US$ 0.00 million,US$ 0.00 million,"June 30, 2026"
Consultor para fiscalização na província de Malanje,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354468,Angola,Strengthening the National Social Protection System Project (Cash Transfer) - P169779,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P169779,P169779,Active,"Emma Monsalve Montiel , Aylin Isik-Dikmelik, Federica Ricaldi",Republic of Angola,"FAS Local Development Institute (FAS-IDL),Ministry of Social Action, Family and Promotion of Women (MASFAMU)",US$ 420.00 million,US$ 320.00 million,"April 30, 2025"
"Recrutement d'un cabinet en charge de la formation du personnel de la CAMTEL sur la comptabilité analytique, revenue assurance et gestion des fraudes",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354469,Cameroon,Acceleration of the Digital Transformation of Cameroon Project - P173240,Request for Expression of Interest,French,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P173240,P173240,Active,"Xavier Decoster , Fidele Yobo A Koue Epse Nhiomog",Republic of Cameroon,"Ministry of Posts and Telecommunications (MINPOSTEL),Ministry of Livestock, Fisheries and Animal Industries (MINEPIA),Ministry of Agriculture and Rural Development (MINADER)",US$ 100.00 million,US$ 100.00 million,"March 31, 2027"
Sélection d'une firme pour la mise en place de la digitalisation en ligne du circuit de requêtes des fonds gérés par l'UCP,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354470,Madagascar,Phase 2 of Improving Nutrition Outcomes Using the Multiphase Programmatic Approach - P175110,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P175110,P175110,Active,Cedric Ndizeye,Republic of Madagascar,"Ministry of Public Health,National Nutrition Office",US$ 85.00 million,US$ 85.00 million,"December 31, 2026"
"Contractualisation avec l'ONG RESTAURER L'ESPOIR COMMUNAUTAIRE en appui au renforcement de la résilience économique et accompagnement des 1966 bénéficiaires de transfert monétaires en MEDAC , dans le territoire de Businga, secteur de Bodangada , dans l",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354471,"Congo, Democratic Republic of",DRC Eastern Recovery Project - P145196,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P145196,P145196,Active,"Jordi Gallego-Ayala , Mba Djekombe Rony, Aissata Coulibaly",Ministry of Finance,Cellule de Suivi des Projets et Programmes,US$ 820.00 million,US$ 700.00 million,"June 30, 2025"
"Procurement of 35.000 Interactive Boards for Inclusive, Accessible and Equitable Digital Contents in Classrooms",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354472,Turkiye,Safe Schooling and Distance Education Project - P173997,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P173997,P173997,Active,"Husein Abdul-Hamid , Tiago Peixoto",Republic of Turkiye,Ministry of National Education of Turkiye,US$ 160.00 million,US$ 160.00 million,"June 30, 2025"
Entente directe avec la société TOMATE pour la migration de TOM2PRO sous Windows vers TOM2PRO WEB,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354473,Burundi,Burundi Transport Resilience Project - P172988,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P172988,P172988,Active,"Francis Ovanda Mbele , Peter Taniform","Ministry of Finance, Budget and Economic Planification","Ministry of Infrastructure, Equipment and Housing,Ministry of Trade, Transport, Industry and Tourism",US$ 120.00 million,US$ 120.00 million,"December 31, 2027"
"Consultancy Services for Data Integration, Design & Development, and Implementation of Integrated Emergency Operations Centre Management System (IEMS) for the State of Maharashtra",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354474,India,Maharashtra Resilience Development Project - P506340,Request for Expression of Interest,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P506340,P506340,Pipeline,"Jolanta Kryspin-Watson , Satya LNU, Anup Karanth",Government of India,Maharashtra Institution for Transformation (MITRA),US$ 0.00 million,US$ 280.00 million,"July 31, 2030"
Senior Grievance Management Development Specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354475,Indonesia,ID for Inclusive Service Delivery and Digital Transformation in Indonesia - P175218,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P175218,P175218,Active,"Asha Williams , Jonathan Marskell",Republic of Indonesia,"General Directorate for Population and Civil Registration, Ministry of Home Affairs",US$ 250.00 million,US$ 250.00 million,"December 31, 2027"
Procurement of Office Supplies,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354476,Lebanon,Support for Social Recovery Needs of Vulnerable Groups Phase II - P506127,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P506127,P506127,Active,"Marcelo Fabre , Jeremy Tomlinson",International Rescue Committee Inc,International Rescue Committee Lebanon,US$ 0.00 million,US$ 0.00 million,"June 30, 2026"
Selection of Individual consultant as ATTP Project Secretariat/M&E officer,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354477,Eastern and Southern Africa,Africa Think Tank Platform Project - P179804,Request for Expression of Interest,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P179804,P179804,Active,"Samer Al-Samarrai , Raymond Muhula",African Union,African Union Commission,US$ 50.00 million,US$ 50.00 million,"August 30, 2028"
Acquisition des équipements numériques pour renforcer la capacité de l'imprimerie du CRIPEN.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354478,Djibouti,Expanding Opportunities for Learning - P166059,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P166059,P166059,Active,"Ryoko Tomita , Abdo Abdo",Republic of Djibouti,Ministry of Education and Vocational Training,US$ 28.05 million,US$ 30.35 million,"June 30, 2025"
Recrutement d'un Spécialiste en Suivi-évalaution pour l'ECP du PEQIP,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354479,"Congo, Democratic Republic of",Primary Education Quality Improvement Project - P181063,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P181063,P181063,Active,"Kokou Amelewonou , Rim Wazni",Democratic Republic of Congo,"Ministry of Primary, Secondary and Technical Education",US$ 0.00 million,US$ 67.00 million,"March 31, 2028"
"10 (IT-C1) Construction de deux (2) centres de santé et de trois (3) écoles primaires subdivisée en 5 lots dans les groupements de Visoma, Oli, Mobiri, Popo et Wala des chefferies de Zaki et Kaliko-Omi. Lot 1 : CS ATSO-ETAT, Lot 2 : CS ALOGA, Lot 3: EP OM",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354480,"Congo, Democratic Republic of",DRC Eastern Recovery Project - P145196,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P145196,P145196,Active,"Jordi Gallego-Ayala , Mba Djekombe Rony, Aissata Coulibaly",Ministry of Finance,Cellule de Suivi des Projets et Programmes,US$ 820.00 million,US$ 700.00 million,"June 30, 2025"
"Recrutement d'un Consultant en charge de la formation du personnel de la CAMTEL sur la gestion des réseaux de transmission (FO, FH et VSAT)",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354481,Cameroon,Acceleration of the Digital Transformation of Cameroon Project - P173240,Request for Expression of Interest,French,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P173240,P173240,Active,"Xavier Decoster , Fidele Yobo A Koue Epse Nhiomog",Republic of Cameroon,"Ministry of Posts and Telecommunications (MINPOSTEL),Ministry of Livestock, Fisheries and Animal Industries (MINEPIA),Ministry of Agriculture and Rural Development (MINADER)",US$ 100.00 million,US$ 100.00 million,"March 31, 2027"
Evolução Tecnológica do PMO,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354482,Angola,Angola Digital Acceleration Project - P180693,Request for Expression of Interest,Portuguese,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P180693,P180693,Active,"Daniel Nogueira-Budny , Naomi Halewood, Sunita Varada",Republic of Angola,Institute for Administrative Modernization,US$ 300.00 million,US$ 300.00 million,"March 31, 2030"
Recrutement d'un bureau d'études pour le contrôle et suivi des travaux d'achèvement du renforcement des systèmes AEP des villes de Diffa et Nguigmi,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354483,Niger,Niger Integrated Water Security Platform Project (Niger-IWSP Project) - P174414,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P174414,P174414,Active,"Mohamed Nanzoul , Michael Thibert",Republic of Niger,"Ministère de l’Agriculture (Ministry of Agriculture),Ministère de l’Elevage (Ministry of Livestock),Prime Minister Cabinet,Ministère de l’Environnement et de la Lutte contre la Désertification (Ministry of Environment and,Société de Patrimoine des Eau du Niger (Niger Water Asset Holding Company),Ministère de l’Hydraulique et de l’Assainissement (Ministry of Water and Sanitation)",US$ 400.00 million,US$ 400.00 million,"December 29, 2028"
"Provision of Redundant Internet signal for Single Service Desk - IP, Municipal Authorities and General Inspectorate of Finance (IGF)",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354484,Mozambique,Managing Public Resources for Service Delivery - P173178,Invitation for Bids,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P173178,P173178,Active,Ana Barros,Republic Of Mozambique,Ministry of Economy and Finance,US$ 96.00 million,US$ 96.00 million,"March 31, 2026"
Radiologist - Adado General Hospital,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354485,Somalia,Somalia Crisis Recovery Project - P173315,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P173315,P173315,Active,"Haris Khan , John Kinuthia",Federal Republic of Somalia,"Ministry of Finance, Federal Government of Somalia,Ministry of Planning, Investment and Economic Development, Federal Government of Somalia",US$ 187.50 million,US$ 187.50 million,"May 31, 2025"
Stationary walk-through (arch type) metal detectors and handheld metal detectors for MOH of Ukraine,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354486,Ukraine,Health Enhancement And Lifesaving (HEAL) Ukraine Project - P180245,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P180245,P180245,Active,"Jakub Kakietek , Christophe Rockmore",Ukraine,Ministry of Health,US$ 500.00 million,US$ 299.50 million,"December 23, 2026"
"11 (IT-C1) Construction de quatre (4) écoles primaires et de (1) forage subdivisée en 5 lots dans les groupements Agey, Adumi, Abedju, Labho et Kumuru. Lot 1 : EP ATI, Lot 2: EP NYAMILIKI, Lot 3: EP ADEDJU, Lot 4: EP BARAKA et Lot 5: Forage à KUMURU",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354487,"Congo, Democratic Republic of",DRC Eastern Recovery Project - P145196,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P145196,P145196,Active,"Jordi Gallego-Ayala , Mba Djekombe Rony, Aissata Coulibaly",Ministry of Finance,Cellule de Suivi des Projets et Programmes,US$ 820.00 million,US$ 700.00 million,"June 30, 2025"
"construction of village ponds in Project GP,s of Sirmour Distt.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354488,India,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal - P165129,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P165129,P165129,Active,"Saumya Srivastava , Pyush Dogra",Republic of India,"Department of Forest, Government of Himachal Pradesh",US$ 100.00 million,US$ 80.00 million,"March 31, 2026"
